model,target,train_size,mae,rmse,r2,spearman
xgboost,VQ,100,0.05259407316949747,0.0644998395789401,0.6030661091749807,0.7841549739275009
lightgbm,CQ,100,0.09203969842873569,0.12377723183206954,0.7230252516791018,0.8434541653021639
lightgbm,AQ,100,0.09209154198710569,0.12031283086192533,0.6261104724406484,0.8097387711917777
lightgbm,HQ,100,0.08541220989624947,0.10378128294089278,0.6038917803847811,0.7644759049802252
lightgbm,VQ,100,0.05351300261667123,0.06544858008368083,0.5913030750494748,0.7767387963825981
random_forest,CQ,150,0.08116999078987452,0.10127388452956947,0.8145812788057167,0.9078822077235055
random_forest,AQ,150,0.0678589307766934,0.08448038245198972,0.8156550892062774,0.9242461646975842
random_forest,HQ,150,0.07096544332483863,0.08434589854520703,0.7383602517364036,0.875950323702043
random_forest,VQ,150,0.05008739130599468,0.06032909582647211,0.652740172527658,0.8027457994306875
mlp,CQ,150,0.09775786696745821,0.12298551384090728,0.7265571545572573,0.8656422399677558
mlp,AQ,150,0.06830932372450432,0.0851450531240341,0.8127429180087935,0.9029246542559891
mlp,HQ,150,0.08192123324516204,0.10287681727109377,0.6107659509552075,0.8039549588130085
mlp,VQ,150,0.0722445715828007,0.08937632618526706,0.23784042455999266,0.5995163362470716
xgboost,CQ,150,0.07903116204763821,0.09785791142076694,0.8268786900996136,0.9070761014686248
xgboost,AQ,150,0.06568501267716251,0.08475269086652615,0.8144647637734344,0.9169005214499837
xgboost,HQ,150,0.07150756866978712,0.0858707287670373,0.7288147391112845,0.8596871300098244
xgboost,VQ,150,0.053207847433662685,0.06330401940203127,0.6176478963917651,0.7909363427966849
lightgbm,CQ,150,0.0846091590575134,0.10979102665038198,0.7820823850435419,0.8859863465753078
lightgbm,AQ,150,0.0805782870137493,0.10362275212838908,0.7226490517031781,0.8546590422450059
lightgbm,HQ,150,0.07512916207895917,0.09388590772827006,0.6758271767000649,0.8348993626722423
lightgbm,VQ,150,0.052481862333703805,0.06311653319323986,0.6199093512537714,0.7894551225533416
random_forest,CQ,200,0.06865378403765633,0.09046650915124703,0.8520434113191132,0.9002241983021387
random_forest,AQ,200,0.07148426920512162,0.09167685710788372,0.7829104879390423,0.9148550268282238
random_forest,HQ,200,0.06939289631142118,0.08367977425057581,0.7424765487187661,0.8880721465098119
random_forest,VQ,200,0.05018192830714407,0.060650584543970085,0.6490292739812145,0.8082777036048064
mlp,CQ,200,0.09118490461439964,0.1212443622315084,0.7342448119859811,0.8748419276015821
mlp,AQ,200,0.08046157866844657,0.10006307077271251,0.7413770489059555,0.8605738468901932
mlp,HQ,200,0.08563949530406072,0.10775647593120828,0.572965912153883,0.8036425926392423
mlp,VQ,200,0.07142711557102838,0.09004478904895492,0.22639711229302584,0.5988613749149809
xgboost,CQ,200,0.06377635254162424,0.08452287684392075,0.8708462009321543,0.9181802151296068
xgboost,AQ,200,0.06719209775135603,0.08715770453448443,0.8037855544788217,0.9135854094767866
xgboost,HQ,200,0.07328356525310997,0.08970844208282673,0.7040335976366765,0.8755069652618587
xgboost,VQ,200,0.050929324154446655,0.06336735030743046,0.6168824847282961,0.8004685492606494
lightgbm,CQ,200,0.08376674358207292,0.10842459240576112,0.7874729367317923,0.878096581605663
