id,D_H,EC,EO,VE,PH,WA,NF,GLR,VC,TDS,TRS,TWS
1636,-0.0036644372,-0.0078114592,0.0010796173,-0.037508953,-0.0017005772,-0.011343647,-0.0009568019,-0.09379838,-0.0028367436,-0.0074401083,-0.06545831,-0.0038751776
377,0.0011699164,0.0011757532,0.0023202691,-0.0002396389,0.003263606,-0.0022424932,0.0011598406,-0.04738436,0.021899719,-0.008754074,0.074233696,-0.04876342
2734,-0.0038854654,-0.0029821226,0.0020316432,-0.0110694105,-0.015560387,-0.0039039296,-0.00034555318,0.015896028,-0.023907255,-0.004617454,-0.032069694,-0.030132469
1179,0.049763482,0.012506237,0.0032750587,0.064876884,0.0026733873,0.012532972,0.0013342483,0.22880107,0.015346892,-0.0019614536,-0.0039358325,0.015992526
433,0.0028909065,0.000697502,-0.0054841954,-0.020229049,0.00041092443,0.0023270273,-0.00011394562,-0.07337009,-0.0023275386,-0.0064552356,-0.008302642,0.110996656
984,-0.0058642076,-0.0015805383,0.0010264565,-0.033123184,-2.5839852e-05,0.012394975,-0.0030535192,-0.09682456,0.02130623,-0.009544031,0.068566,-0.051929396
175,2.5274312e-05,0.0018540539,0.004658095,0.030735662,0.0014411996,-0.0073388033,0.0019151174,0.03137971,-0.012659166,-0.0034324117,0.05879329,0.08769855
440,0.016703079,-0.0047096093,-0.012503013,-0.023894744,-0.0001371978,0.005648755,-0.0023977272,-0.028841015,-0.015803771,-0.006075728,-0.028478887,-0.025234763
471,-0.008108053,-0.003939808,0.0038864205,0.018746343,0.011634379,-0.0019245131,-0.0021490403,-0.010252924,-0.017324552,-0.0045884396,-0.0072998293,-0.032311697
1,0.0045204395,0.0038337419,-0.005726924,0.012249196,-0.0008327397,0.0049181227,0.0023775578,-0.032442465,-0.0023872578,-0.004486893,-0.009117158,0.04184618
47,0.0013684001,-0.0007848187,0.004826185,-0.02976255,-0.001127285,0.0072726267,-0.0008827502,-0.058238965,-0.0017664316,-0.006804088,-0.01469483,-0.030272985
3504,0.011604831,0.008882867,0.0027007514,0.047967628,0.002232602,0.011480429,0.0009693907,0.14755264,-0.0030202286,-0.0023337586,0.005269754,-0.032919697
99,-0.006712323,-0.005121228,0.0038665459,-0.017766278,0.0007046325,-0.005936729,0.0017699426,-0.0611411,-0.0054779393,0.07746591,0.045617156,0.19726841
1513,0.00054571626,0.00387832,0.0016756625,0.025141256,0.0028515295,-0.0015047984,-0.0015762048,0.07188141,0.0015899317,-0.0021450454,-0.031272903,-0.029876608
1336,0.00017677252,0.0030334415,0.004145301,-0.019798988,0.0006574708,0.010060681,0.00053569366,-0.08518837,-3.096731e-05,-0.007198281,0.052992877,0.19159767
3499,-0.0030186013,-0.0028603077,0.00339137,-0.022054264,-0.0010819243,0.0051971087,-0.00010182762,-0.054845933,0.01055965,-0.0069482964,0.00095816527,-0.038893256
3299,-0.0050531453,-0.002557801,0.0016220417,-0.04534387,-0.0026469005,-0.00069250655,0.00045128565,-0.17800601,-0.04468682,-0.009547528,0.01152158,-0.058112577
2548,0.0038952213,-0.007864187,0.0017747241,0.047837045,0.0033578123,0.0024706998,0.0005817887,0.12877984,-0.0021157572,-0.0023092527,-0.020005077,-0.028409138
1036,-0.011224419,-0.0059613716,0.0026600622,-0.05197838,-0.0010504902,-0.0050979704,-0.0015170368,-0.15542753,0.0037804435,-0.009681073,-0.04159423,-0.045982886
73,0.0125735225,0.009011096,0.0029331874,0.059139077,0.0030396867,0.004866561,0.000571104,0.1477775,0.004117602,-0.0019227825,-0.017514344,-0.026412282
2833,-0.022806907,0.0064132544,0.0031939852,0.036410023,0.002391282,-0.02074884,0.0004314825,0.106804214,-0.020932492,-0.0025666992,-0.03428228,-0.030104505
2757,0.0026002156,0.0074179675,-0.0036500073,-0.020129947,-0.00010802497,-0.0019997885,0.001211452,-0.103885286,-0.016519124,-0.007437469,-0.0071529723,-0.036188632
58,0.0065570967,-0.0026750062,0.004919854,0.018098425,-0.009952252,-0.002247791,-0.0021992044,-0.018909896,-0.004598389,-0.004554129,-0.021390244,-0.03478548
1351,-0.0027001677,-0.0079267435,0.0015364665,0.0041496586,0.0022225578,0.007615161,-0.003443994,0.08905625,-0.00443111,0.045959543,-0.023588704,-0.033819485
211,-0.0022540982,0.0012478128,0.0019612897,0.041856896,0.002496334,-0.013289667,0.00037009598,0.17825495,-0.0015699089,-0.0020871253,-0.021440655,-0.029684158
3398,0.019333838,-0.00062304764,0.0046435324,-0.0075697135,-0.014589978,0.011208088,-0.0005856037,0.0326878,-0.019555088,0.00557946,-0.034849834,-0.02896275
272,-0.0049929763,-0.0021310167,0.0027527965,-0.009754796,0.0011131443,0.00031743315,0.0067847692,-0.040760178,0.015077273,0.11409235,0.105850056,0.1319656
517,-0.004896206,-0.0052031484,0.0051382617,-0.031720348,-0.0033257783,-0.0032407409,-0.0026302685,-0.080580406,-0.020414257,-0.006712449,-0.036999673,0.0010168453
1901,0.014216716,-0.013066473,-0.016048346,-0.022382526,-0.003187762,0.0032029834,-0.0012396021,-0.03185367,-0.011348178,-0.005473379,-0.036943056,0.011576338
938,-0.02575194,-0.008297871,0.002661254,-0.039352033,-0.0091698095,-0.015371428,-0.001007047,-0.09181475,-0.042042214,-0.0070181545,-0.022063877,-0.04908754
2910,0.019344902,0.0033614915,0.0042937454,-0.024271036,-0.0006545651,0.006502691,0.0020240943,-0.05031564,-0.010380292,-0.0064563206,-0.011855132,-0.022777168
3201,0.009763533,0.0018053532,0.0081660645,-0.00075726304,0.0028642835,0.017890261,0.00039631827,0.07420477,0.006223007,-0.0028537463,-0.0005705618,-0.031950958
